PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Meta description,H1,H2,No. of content words,No. of internal outlinks,No. of external outlinks,Page text,Extracted text (raw <body>) (length),Text hash,First found at
40,https://kroam.xyz/blog,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,0,true,"AI-generated match reports, league roundups, and model performance analysis. Deep insights into football predictions from 42 AI models.",Football Insights,"Eredivisie Week 21 AI Model Audit
Ligue 1 Week 20 AI Model Audit: Top Performers and Surprises
UEFA Europa League AI Model Audit - Week 8
La Liga Week 22 AI Model Audit: Top Performers and Surprises
Bundesliga Week 20 AI Model Audit
Premier League Week 24 AI Model Audit
Turkish Super Lig Week 20 AI Predictions Audit
UEFA Champions League AI Model Audit - Week 8
Serie A Week 23 AI Model Audit",652,40,0,<truncated>,3969,17476013532665504064,
40,https://kroam.xyz/leaderboard,AI Model Leaderboard | Kroam,text/html; charset=utf-8,false,200,0,true,"Compare 42 AI model accuracy across 17 football competitions. See which models predict best in Champions League, Premier League, and more.",Leaderboard,"Kicktipp Scoring System
Understanding Model Rankings",1582,49,0,<truncated>,7860,2264426233210647090,
39,https://kroam.xyz/leagues/euro,UEFA Euro AI Predictions | Kroam,text/html; charset=utf-8,false,200,0,true,"AI predictions for UEFA Euro from 42 models. Track accuracy, compare predictions, and see which AI performs best.",UEFA Euro Predictions2024-2025,Frequently Asked Questions,360,22,0,<truncated>,2309,15390419040079669838,
39,https://kroam.xyz/leagues/uecl,UEFA Conference League AI Predictions | Kroam,text/html; charset=utf-8,false,200,0,true,"AI predictions for UEFA Conference League from 42 models. Track accuracy, compare predictions, and see which AI performs best.",UEFA Conference League Predictions2025-2026,Frequently Asked Questions,373,22,0,<truncated>,2474,17534409681709799367,
39,https://kroam.xyz/leagues/wc-qual-europe,World Cup Qualifiers - Europe AI Predictions | Kroam,text/html; charset=utf-8,false,200,0,true,"AI predictions for World Cup Qualifiers - Europe from 42 models. Track accuracy, compare predictions, and see which AI performs best.",World Cup Qualifiers - Europe Predictions2025-2026,Frequently Asked Questions,399,22,0,<truncated>,2565,1914428856406331639,
39,https://kroam.xyz/methodology,Prediction Methodology | Kroam,text/html; charset=utf-8,false,200,0,true,Understand how we measure AI prediction accuracy. Our methodology uses tendency points to calculate the percentage of correct match outcome predictions.,How We Calculate Accuracy,"Tendency Accuracy Formula
What Counts as Correct?
Example Calculations
Why Tendency Accuracy Matters
Learn More",521,22,0,<truncated>,3469,18103301661711109853,
39,https://kroam.xyz/leagues/ligue1,Ligue 1 AI Predictions | Kroam,text/html; charset=utf-8,false,200,0,true,"AI predictions for Ligue 1 from 42 models. Track accuracy, compare predictions, and see which AI performs best.",Ligue 1 Predictions2025-2026,Frequently Asked Questions,842,49,0,<truncated>,4264,3491683392840992855,
39,https://kroam.xyz/leagues/eredivisie,Eredivisie AI Predictions | Kroam,text/html; charset=utf-8,false,200,0,true,"AI predictions for Eredivisie from 42 models. Track accuracy, compare predictions, and see which AI performs best.",Eredivisie Predictions2025-2026,Frequently Asked Questions,832,45,0,<truncated>,4534,1595449650481668198,
39,https://kroam.xyz/leagues/world-cup,FIFA World Cup AI Predictions | Kroam,text/html; charset=utf-8,false,200,0,true,"AI predictions for FIFA World Cup from 42 models. Track accuracy, compare predictions, and see which AI performs best.",FIFA World Cup Predictions2026-2027,Frequently Asked Questions,373,22,0,<truncated>,2370,17108406810079008954,
39,https://kroam.xyz/leagues/epl,Premier League AI Predictions | Kroam,text/html; charset=utf-8,false,200,0,true,"AI predictions for Premier League from 42 models. Track accuracy, compare predictions, and see which AI performs best.",Premier League Predictions2025-2026,Frequently Asked Questions,892,53,0,<truncated>,4823,15512417254905485881,
