PR,URL,Title,Content type,Is rendered page,HTTP status code,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Meta description,H1,Organic traffic,Is indexable page
35,https://kroam.xyz/models/llama-3.2-3b-turbo,Llama 3.2 3B Turbo (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,601,<truncated>,2856,16236823853533401418,Llama 3.2 3B Turbo (Meta) football predictions with 50% accuracy. Compare performance against 42 AI models across 17 leagues.,Llama 3.2 3B Turbo (Meta) Football Predictions,0,true
34,https://kroam.xyz/models/llama-3.3-70b-turbo,Llama 3.3 70B Turbo (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,601,<truncated>,2866,4337346157635333740,Llama 3.3 70B Turbo (Meta) football predictions with 41% accuracy. Compare performance against 42 AI models across 17 leagues.,Llama 3.3 70B Turbo (Meta) Football Predictions,0,true
34,https://kroam.xyz/models/qwen2.5-7b-turbo,Qwen 2.5 7B Turbo (Alibaba) Football Predictions | Kroam,text/html; charset=utf-8,false,200,601,<truncated>,2858,17157397890907183871,Qwen 2.5 7B Turbo (Alibaba) football predictions with 50% accuracy. Compare performance against 42 AI models across 17 leagues.,Qwen 2.5 7B Turbo (Alibaba) Football Predictions,0,true
34,https://kroam.xyz/models/cogito-70b,Cogito v2 70B (Deep Cogito) Football Predictions | Kroam,text/html; charset=utf-8,false,200,601,<truncated>,2862,17813801156308294412,Cogito v2 70B (Deep Cogito) football predictions with 46% accuracy. Compare performance against 42 AI models across 17 leagues.,Cogito v2 70B (Deep Cogito) Football Predictions,0,true
34,https://kroam.xyz/models/llama-3-8b-lite,Llama 3 8B Lite (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,601,<truncated>,2858,17260119154578291038,Llama 3 8B Lite (Meta) football predictions with 51% accuracy. Compare performance against 42 AI models across 17 leagues.,Llama 3 8B Lite (Meta) Football Predictions,0,true
32,https://kroam.xyz/models/llama-3.1-8b-turbo,Llama 3.1 8B Turbo (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,602,<truncated>,2869,960850760162150641,Llama 3.1 8B Turbo (Meta) football predictions with 50% accuracy. Compare performance against 42 AI models across 17 leagues.,Llama 3.1 8B Turbo (Meta) Football Predictions,0,true
32,https://kroam.xyz/models/gemma-3n-e4b,Gemma 3n E4B (Google) Football Predictions | Kroam,text/html; charset=utf-8,false,200,599,<truncated>,2856,891232615979974326,Gemma 3n E4B (Google) football predictions with 45% accuracy. Compare performance against 42 AI models across 17 leagues.,Gemma 3n E4B (Google) Football Predictions,0,true
31,https://kroam.xyz/models/qwen3-next-80b-instruct,Qwen3 Next 80B (Alibaba) Football Predictions | Kroam,text/html; charset=utf-8,false,200,599,<truncated>,2870,17164398853019317146,Qwen3 Next 80B (Alibaba) football predictions with 34% accuracy. Compare performance against 42 AI models across 17 leagues.,Qwen3 Next 80B (Alibaba) Football Predictions,0,true
31,https://kroam.xyz/models/ministral-3-14b,Ministral 3 14B (Mistral) Football Predictions | Kroam,text/html; charset=utf-8,false,200,599,<truncated>,2874,875277064756850953,Ministral 3 14B (Mistral) football predictions with 40% accuracy. Compare performance against 42 AI models across 17 leagues.,Ministral 3 14B (Mistral) Football Predictions,0,true
31,https://kroam.xyz/models/llama-4-maverick,Llama 4 Maverick (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,599,<truncated>,2864,15804931822478780990,Llama 4 Maverick (Meta) football predictions with 48% accuracy. Compare performance against 42 AI models across 17 leagues.,Llama 4 Maverick (Meta) Football Predictions,0,true
31,https://kroam.xyz/models/marin-8b-instruct,Marin 8B Instruct (Marin Community) Football Predictions,text/html; charset=utf-8,false,200,600,<truncated>,2892,1247604753733646562,Marin 8B Instruct (Marin Community) football predictions with 43% accuracy. Compare performance against 42 AI models across 17 leagues.,Marin 8B Instruct (Marin Community) Football Predictions,0,true
31,https://kroam.xyz/models/mistral-7b-v0.3,Mistral 7B v0.3 (Mistral) Football Predictions | Kroam,text/html; charset=utf-8,false,200,599,<truncated>,2873,394505296193393153,Mistral 7B v0.3 (Mistral) football predictions with 43% accuracy. Compare performance against 42 AI models across 17 leagues.,Mistral 7B v0.3 (Mistral) Football Predictions,0,true
31,https://kroam.xyz/models/cogito-109b-moe,Cogito v2 109B MoE (Deep Cogito) Football Predictions,text/html; charset=utf-8,false,200,603,<truncated>,2888,18415668082523218996,Cogito v2 109B MoE (Deep Cogito) football predictions with 44% accuracy. Compare performance against 42 AI models across 17 leagues.,Cogito v2 109B MoE (Deep Cogito) Football Predictions,0,true
31,https://kroam.xyz/models/cogito-405b,Cogito v2 405B (Deep Cogito) Football Predictions | Kroam,text/html; charset=utf-8,false,200,602,<truncated>,2878,3550476759379286315,Cogito v2 405B (Deep Cogito) football predictions with 42% accuracy. Compare performance against 42 AI models across 17 leagues.,Cogito v2 405B (Deep Cogito) Football Predictions,0,true
31,https://kroam.xyz/models/llama-4-scout,Llama 4 Scout (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,599,<truncated>,2857,17249941287746891706,Llama 4 Scout (Meta) football predictions with 48% accuracy. Compare performance against 42 AI models across 17 leagues.,Llama 4 Scout (Meta) Football Predictions,0,true
